Time,TIME,SIGNAL
2013-05-26 14:10:03,2013-05-26 14:10:03.900,1.0
2013-05-26 14:10:04,2013-05-26 14:10:04.900,1.0
2013-05-26 14:10:05,2013-05-26 14:10:05.900,1.0
2013-05-26 14:10:06,2013-05-26 14:10:06.900,1.0
2013-05-26 14:10:07,2013-05-26 14:10:07.900,1.0
2013-05-26 14:10:08,2013-05-26 14:10:08.900,1.0
2013-05-26 14:10:09,2013-05-26 14:10:09.900,1.0
2013-05-26 14:10:10,2013-05-26 14:10:10.900,1.0
2013-05-26 14:10:11,2013-05-26 14:10:11.900,1.0
2013-05-26 14:10:12,2013-05-26 14:10:12.900,1.0
2013-05-26 14:10:13,2013-05-26 14:10:13.900,1.0
2013-05-26 14:10:14,2013-05-26 14:10:14.900,1.0
2013-05-26 14:10:15,2013-05-26 14:10:15.900,1.0
2013-05-26 14:10:16,2013-05-26 14:10:16.900,1.0
2013-05-26 14:10:17,2013-05-26 14:10:17.900,1.0
2013-05-26 14:10:18,2013-05-26 14:10:18.900,1.0
2013-05-26 14:10:19,2013-05-26 14:10:19.900,1.0
2013-05-26 14:10:20,2013-05-26 14:10:20.900,1.0
2013-05-26 14:10:21,2013-05-26 14:10:21.900,1.0
2013-05-26 14:10:22,2013-05-26 14:10:22.900,1.0
2013-05-26 14:10:23,2013-05-26 14:10:23.900,1.0
2013-05-26 14:10:24,2013-05-26 14:10:24.900,1.0
2013-05-26 14:10:25,2013-05-26 14:10:25.900,1.0
2013-05-26 14:10:26,2013-05-26 14:10:26.900,1.0
2013-05-26 14:10:27,2013-05-26 14:10:27.900,1.0
2013-05-26 14:10:28,2013-05-26 14:10:28.900,1.0
2013-05-26 14:10:29,2013-05-26 14:10:29.900,1.0
2013-05-26 14:10:30,2013-05-26 14:10:30.900,1.0
2013-05-26 14:10:31,2013-05-26 14:10:31.900,1.0
2013-05-26 14:10:32,2013-05-26 14:10:32.900,1.0
2013-05-26 14:10:33,2013-05-26 14:10:33.900,1.0
2013-05-26 14:10:34,2013-05-26 14:10:34.900,1.0
2013-05-26 14:10:35,2013-05-26 14:10:35.900,1.0
2013-05-26 14:10:36,2013-05-26 14:10:36.900,1.0
2013-05-26 14:10:37,2013-05-26 14:10:37.900,1.0
2013-05-26 14:10:38,2013-05-26 14:10:38.900,1.0
2013-05-26 14:10:39,2013-05-26 14:10:39.900,1.0
2013-05-26 14:10:40,2013-05-26 14:10:40.900,1.0
2013-05-26 14:10:41,2013-05-26 14:10:41.900,1.0
2013-05-26 14:10:42,2013-05-26 14:10:42.900,1.0
2013-05-26 14:10:43,2013-05-26 14:10:43.900,1.0
2013-05-26 14:10:44,2013-05-26 14:10:44.900,1.0
2013-05-26 14:10:45,2013-05-26 14:10:45.900,1.0
2013-05-26 14:10:46,2013-05-26 14:10:46.900,1.0
2013-05-26 14:10:47,2013-05-26 14:10:47.900,1.0
2013-05-26 14:10:48,2013-05-26 14:10:48.900,1.0
2013-05-26 14:10:49,2013-05-26 14:10:49.900,1.0
2013-05-26 14:10:50,2013-05-26 14:10:50.900,1.0
2013-05-26 14:10:51,2013-05-26 14:10:51.900,1.0
2013-05-26 14:10:52,2013-05-26 14:10:52.900,1.0
2013-05-26 14:10:53,2013-05-26 14:10:53.900,1.0
2013-05-26 14:13:04,2013-05-26 14:13:04.900,1.0
2013-05-26 14:13:05,2013-05-26 14:13:05.900,1.0
2013-05-26 14:13:06,2013-05-26 14:13:06.900,1.0
2013-05-26 14:13:07,2013-05-26 14:13:07.900,1.0
2013-05-26 14:13:08,2013-05-26 14:13:08.900,1.0
2013-05-26 14:13:09,2013-05-26 14:13:09.900,1.0
2013-05-26 14:13:10,2013-05-26 14:13:10.900,1.0
2013-05-26 14:13:11,2013-05-26 14:13:11.900,1.0
2013-05-26 14:13:12,2013-05-26 14:13:12.900,1.0
2013-05-26 14:13:13,2013-05-26 14:13:13.900,1.0
2013-05-26 14:13:14,2013-05-26 14:13:14.900,1.0
2013-05-26 14:13:15,2013-05-26 14:13:15.900,1.0
2013-05-26 14:13:16,2013-05-26 14:13:16.900,1.0
2013-05-26 14:13:17,2013-05-26 14:13:17.900,1.0
2013-05-26 14:13:18,2013-05-26 14:13:18.900,1.0
2013-05-26 14:13:19,2013-05-26 14:13:19.900,1.0
2013-05-26 14:13:20,2013-05-26 14:13:20.900,1.0
2013-05-26 14:13:21,2013-05-26 14:13:21.900,1.0
2013-05-26 14:13:22,2013-05-26 14:13:22.900,1.0
2013-05-26 14:13:23,2013-05-26 14:13:23.900,1.0
2013-05-26 14:13:24,2013-05-26 14:13:24.900,1.0
2013-05-26 14:13:25,2013-05-26 14:13:25.900,1.0
2013-05-26 14:13:26,2013-05-26 14:13:26.900,1.0
2013-05-26 14:13:27,2013-05-26 14:13:27.900,1.0
2013-05-26 14:13:28,2013-05-26 14:13:28.900,1.0
2013-05-26 14:13:29,2013-05-26 14:13:29.900,1.0
2013-05-26 14:13:30,2013-05-26 14:13:30.900,1.0
2013-05-26 14:13:31,2013-05-26 14:13:31.900,1.0
2013-05-26 14:13:32,2013-05-26 14:13:32.900,1.0
2013-05-26 14:13:33,2013-05-26 14:13:33.900,1.0
2013-05-26 14:13:34,2013-05-26 14:13:34.900,1.0
2013-05-26 14:13:35,2013-05-26 14:13:35.900,1.0
2013-05-26 14:13:36,2013-05-26 14:13:36.900,1.0
2013-05-26 14:13:37,2013-05-26 14:13:37.900,1.0
2013-05-26 14:13:38,2013-05-26 14:13:38.900,1.0
2013-05-26 14:13:39,2013-05-26 14:13:39.900,1.0
2013-05-26 14:13:40,2013-05-26 14:13:40.900,1.0
2013-05-26 14:13:41,2013-05-26 14:13:41.900,1.0
2013-05-26 14:13:42,2013-05-26 14:13:42.900,1.0
2013-05-26 14:13:43,2013-05-26 14:13:43.900,1.0
2013-05-26 14:13:44,2013-05-26 14:13:44.900,1.0
2013-05-26 14:13:45,2013-05-26 14:13:45.900,1.0
2013-05-26 14:13:46,2013-05-26 14:13:46.900,1.0
2013-05-26 14:13:47,2013-05-26 14:13:47.900,1.0
2013-05-26 14:13:48,2013-05-26 14:13:48.900,1.0
2013-05-26 14:13:49,2013-05-26 14:13:49.900,1.0
2013-05-26 14:13:50,2013-05-26 14:13:50.900,1.0
2013-05-26 14:13:51,2013-05-26 14:13:51.900,1.0
2013-05-26 14:13:52,2013-05-26 14:13:52.900,1.0
2013-05-26 14:13:57,2013-05-26 14:13:57.900,-1.0
2013-05-26 14:13:58,2013-05-26 14:13:58.900,-1.0
2013-05-26 14:13:59,2013-05-26 14:13:59.900,-1.0
2013-05-26 14:14:00,2013-05-26 14:14:00.900,-1.0
2013-05-26 14:14:01,2013-05-26 14:14:01.900,-1.0
