,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_100,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_100,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2013-05-17 09:30:00.100,10000,10000,10000,10000,0,0,0,0
2013-05-17 09:31:01.900,20000,,,,-7810.669374365383,,,
2013-05-17 09:31:02.900,,,20000,,,,-7810.669374365383,
2013-05-17 09:31:03.900,,,,,,,,
2013-05-17 09:31:04.900,,,,,,,,
2013-05-17 09:31:05.900,,,,,,,,
2013-05-17 09:31:06.900,,,,,,,,
2013-05-17 09:31:07.900,,,,,,,,
2013-05-17 09:31:08.900,,,,,,,,
2013-05-17 09:31:09.900,,,,,,,,
2013-05-17 09:31:10.900,,,,,,,,
2013-05-17 09:31:11.900,,,,20000,,,,-7810.36435349709
2013-05-17 09:31:12.900,,,,,,,,
2013-05-17 09:31:13.900,,,,,,,,
2013-05-17 09:31:14.900,,,,,,,,
2013-05-17 09:31:15.900,,,,,,,,
2013-05-17 09:31:16.900,,,,,,,,
2013-05-17 09:31:17.900,,,,,,,,
2013-05-17 09:31:18.900,,,,,,,,
2013-05-17 09:31:19.900,,,,,,,,
2013-05-17 09:31:20.900,,,,,,,,
2013-05-17 09:31:21.900,,,,,,,,
2013-05-17 09:31:22.900,,,,,,,,
2013-05-17 09:31:23.900,,,,,,,,
2013-05-17 09:31:24.900,,,,,,,,
2013-05-17 09:31:25.900,,,,,,,,
2013-05-17 09:31:26.900,9998.437866125127,,,,0,,,
2013-05-17 09:31:27.900,0,,9999.218933062564,,7808.839320622561,,0,
2013-05-17 09:31:28.900,,,0,,,,7809.449338536836,
2013-05-17 09:31:29.900,,,,,,,,
2013-05-17 09:31:30.900,,,,,,,,
2013-05-17 09:31:31.900,,,,,,,,
2013-05-17 09:31:32.900,,,,,,,,
2013-05-17 09:31:33.900,,,,,,,,
2013-05-17 09:31:34.900,,,,,,,,
2013-05-17 09:31:35.900,9997.656982193064,,,,0,,,
2013-05-17 09:31:36.900,0,,9998.437988128711,9999.21896356465,7807.924543865878,,0,0
2013-05-17 09:31:37.900,9996.876189738678,,0,0,0,,7808.229588542532,7808.839487360133
2013-05-17 09:31:38.900,0,,9996.876342211004,,7807.314764136575,,0,
2013-05-17 09:31:39.900,9995.705092524056,,0,,0,,7807.314883213717,
2013-05-17 09:31:40.900,19991.410185048113,,9996.485976466844,,-7806.705008219351,,0,
2013-05-17 09:31:41.900,9994.924422023234,,19992.971952933687,,0,,-7807.619773083018,
2013-05-17 09:31:42.900,19989.848844046468,,9995.705214489535,,-7806.400142166777,,0,
2013-05-17 09:31:43.900,9994.534102016127,,19991.41042897907,,0,,-7807.314859399778,
2013-05-17 09:31:44.900,0,,9994.924483003595,,7805.790457682074,,0,
2013-05-17 09:31:45.900,,,0,9997.657195667178,,,7806.400189794661,0
2013-05-17 09:31:46.900,,,,0,,,,7808.5345379522605
2013-05-17 09:31:47.900,,,,9997.266768940279,,,,0
2013-05-17 09:31:48.900,,,,0,,,,7808.229600453218
2013-05-17 09:31:49.900,,,,9996.876357460254,,,,0
2013-05-17 09:31:50.900,,,,19993.75271492051,,,,-7808.229600453217
2013-05-17 09:31:51.900,,,,9996.485945980232,,,,0
2013-05-17 09:31:52.900,,,,19992.971891960464,,,,-7808.229600453217
2013-05-17 09:31:53.900,,,,9996.09553450021,,,,0
2013-05-17 09:31:54.900,,,,0,,,,7807.619725455135
2013-05-17 09:31:55.900,,,,,,,,
2013-05-17 09:31:56.900,,,,,,,,
2013-05-17 09:31:57.900,,,,,,,,
2013-05-17 09:31:58.900,,,,,,,,
2013-05-17 09:31:59.900,9993.363233447475,,,,0,,,
2013-05-17 09:32:00.900,19986.72646689495,,9994.534162994105,,-7805.485615439721,,0,
2013-05-17 09:32:01.900,,,19989.06832598821,,,,-7806.400189794661,
2013-05-17 09:32:02.900,9992.972959166702,,,,0,,,
2013-05-17 09:32:03.900,19985.945918333404,,9994.143842984615,,-7805.485615439719,,0,
2013-05-17 09:32:04.900,,,19988.28768596923,,,,-7806.705079663033,
2013-05-17 09:32:05.900,9992.19241060516,,,,0,,,
2013-05-17 09:32:06.900,0,,9992.972837222665,,7804.266341707469,,0,
2013-05-17 09:32:07.900,,,0,,,,7804.875883330858,
