Time,TIME,SIGNAL
2013-05-07 12:51:00,2013-05-07 12:51:00.900,1.0
2013-05-07 12:51:01,2013-05-07 12:51:01.900,1.0
2013-05-07 12:51:02,2013-05-07 12:51:02.900,1.0
2013-05-07 12:51:03,2013-05-07 12:51:03.900,1.0
2013-05-07 12:51:04,2013-05-07 12:51:04.900,1.0
2013-05-07 12:51:05,2013-05-07 12:51:05.900,1.0
2013-05-07 12:51:06,2013-05-07 12:51:06.900,1.0
2013-05-07 12:51:07,2013-05-07 12:51:07.900,1.0
2013-05-07 12:51:08,2013-05-07 12:51:08.900,1.0
2013-05-07 12:51:09,2013-05-07 12:51:09.900,1.0
2013-05-07 12:51:10,2013-05-07 12:51:10.900,1.0
2013-05-07 12:51:11,2013-05-07 12:51:11.900,1.0
2013-05-07 12:51:12,2013-05-07 12:51:12.900,1.0
2013-05-07 12:51:13,2013-05-07 12:51:13.900,1.0
2013-05-07 12:51:14,2013-05-07 12:51:14.900,1.0
2013-05-07 12:51:15,2013-05-07 12:51:15.900,1.0
2013-05-07 12:51:16,2013-05-07 12:51:16.900,1.0
2013-05-07 13:51:06,2013-05-07 13:51:06.900,1.0
2013-05-07 13:51:07,2013-05-07 13:51:07.900,1.0
2013-05-07 13:51:08,2013-05-07 13:51:08.900,1.0
2013-05-07 13:51:09,2013-05-07 13:51:09.900,1.0
2013-05-07 13:51:10,2013-05-07 13:51:10.900,1.0
2013-05-07 13:51:11,2013-05-07 13:51:11.900,1.0
2013-05-07 13:51:12,2013-05-07 13:51:12.900,1.0
2013-05-07 13:51:13,2013-05-07 13:51:13.900,1.0
2013-05-07 14:40:23,2013-05-07 14:40:23.900,1.0
2013-05-07 14:40:24,2013-05-07 14:40:24.900,1.0
2013-05-07 14:40:25,2013-05-07 14:40:25.900,1.0
2013-05-07 14:41:27,2013-05-07 14:41:27.900,1.0
2013-05-07 14:41:28,2013-05-07 14:41:28.900,1.0
2013-05-07 14:41:29,2013-05-07 14:41:29.900,1.0
2013-05-07 14:41:30,2013-05-07 14:41:30.900,1.0
2013-05-07 14:41:31,2013-05-07 14:41:31.900,1.0
2013-05-07 14:41:32,2013-05-07 14:41:32.900,1.0
2013-05-07 14:41:33,2013-05-07 14:41:33.900,1.0
2013-05-07 14:41:34,2013-05-07 14:41:34.900,1.0
2013-05-07 14:41:35,2013-05-07 14:41:35.900,1.0
2013-05-07 14:41:36,2013-05-07 14:41:36.900,1.0
2013-05-07 14:41:37,2013-05-07 14:41:37.900,1.0
2013-05-07 14:41:38,2013-05-07 14:41:38.900,1.0
2013-05-07 14:41:39,2013-05-07 14:41:39.900,1.0
2013-05-07 14:41:40,2013-05-07 14:41:40.900,1.0
2013-05-07 14:41:41,2013-05-07 14:41:41.900,1.0
2013-05-07 14:41:42,2013-05-07 14:41:42.900,1.0
2013-05-07 14:41:43,2013-05-07 14:41:43.900,1.0
2013-05-07 14:41:44,2013-05-07 14:41:44.900,1.0
2013-05-07 14:41:45,2013-05-07 14:41:45.900,1.0
2013-05-07 14:41:46,2013-05-07 14:41:46.900,1.0
2013-05-07 14:41:47,2013-05-07 14:41:47.900,1.0
2013-05-07 14:41:48,2013-05-07 14:41:48.900,1.0
2013-05-07 14:41:49,2013-05-07 14:41:49.900,1.0
2013-05-07 14:41:50,2013-05-07 14:41:50.900,1.0
2013-05-07 14:41:51,2013-05-07 14:41:51.900,1.0
2013-05-07 14:41:52,2013-05-07 14:41:52.900,1.0
2013-05-07 14:41:53,2013-05-07 14:41:53.900,1.0
2013-05-07 14:41:54,2013-05-07 14:41:54.900,1.0
2013-05-07 14:41:55,2013-05-07 14:41:55.900,1.0
2013-05-07 14:41:56,2013-05-07 14:41:56.900,1.0
2013-05-07 14:41:57,2013-05-07 14:41:57.900,1.0
2013-05-07 14:41:58,2013-05-07 14:41:58.900,1.0
2013-05-07 14:41:59,2013-05-07 14:41:59.900,1.0
2013-05-07 14:42:00,2013-05-07 14:42:00.900,1.0
2013-05-07 14:42:01,2013-05-07 14:42:01.900,1.0
2013-05-07 14:42:02,2013-05-07 14:42:02.900,1.0
2013-05-07 14:42:03,2013-05-07 14:42:03.900,1.0
2013-05-07 14:42:04,2013-05-07 14:42:04.900,1.0
2013-05-07 14:42:05,2013-05-07 14:42:05.900,1.0
2013-05-07 14:42:06,2013-05-07 14:42:06.900,1.0
2013-05-07 14:42:07,2013-05-07 14:42:07.900,1.0
2013-05-07 14:42:08,2013-05-07 14:42:08.900,1.0
2013-05-07 14:42:09,2013-05-07 14:42:09.900,1.0
2013-05-07 14:42:10,2013-05-07 14:42:10.900,1.0
2013-05-07 14:42:11,2013-05-07 14:42:11.900,1.0
2013-05-07 14:42:12,2013-05-07 14:42:12.900,1.0
2013-05-07 14:42:13,2013-05-07 14:42:13.900,1.0
2013-05-07 14:42:14,2013-05-07 14:42:14.900,1.0
2013-05-07 14:42:15,2013-05-07 14:42:15.900,1.0
2013-05-07 14:42:16,2013-05-07 14:42:16.900,1.0
2013-05-07 14:42:17,2013-05-07 14:42:17.900,1.0
2013-05-07 14:42:18,2013-05-07 14:42:18.900,1.0
2013-05-07 14:42:19,2013-05-07 14:42:19.900,1.0
2013-05-07 14:42:20,2013-05-07 14:42:20.900,1.0
2013-05-07 14:42:21,2013-05-07 14:42:21.900,1.0
2013-05-07 14:42:22,2013-05-07 14:42:22.900,1.0
2013-05-07 14:42:23,2013-05-07 14:42:23.900,1.0
2013-05-07 14:42:24,2013-05-07 14:42:24.900,1.0
2013-05-07 14:42:25,2013-05-07 14:42:25.900,1.0
2013-05-07 14:42:26,2013-05-07 14:42:26.900,1.0
2013-05-07 14:42:27,2013-05-07 14:42:27.900,1.0
2013-05-07 14:42:28,2013-05-07 14:42:28.900,1.0
2013-05-07 14:42:29,2013-05-07 14:42:29.900,1.0
2013-05-07 14:42:30,2013-05-07 14:42:30.900,1.0
2013-05-07 14:42:31,2013-05-07 14:42:31.900,1.0
2013-05-07 14:42:46,2013-05-07 14:42:46.900,1.0
2013-05-07 14:42:47,2013-05-07 14:42:47.900,1.0
2013-05-07 14:42:48,2013-05-07 14:42:48.900,1.0
2013-05-07 14:42:49,2013-05-07 14:42:49.900,1.0
2013-05-07 14:42:50,2013-05-07 14:42:50.900,1.0
2013-05-07 14:42:51,2013-05-07 14:42:51.900,1.0
2013-05-07 14:42:52,2013-05-07 14:42:52.900,1.0
2013-05-07 14:42:53,2013-05-07 14:42:53.900,1.0
2013-05-07 14:42:54,2013-05-07 14:42:54.900,1.0
2013-05-07 14:42:55,2013-05-07 14:42:55.900,1.0
2013-05-07 14:42:56,2013-05-07 14:42:56.900,1.0
2013-05-07 14:42:57,2013-05-07 14:42:57.900,1.0
2013-05-07 14:42:58,2013-05-07 14:42:58.900,1.0
2013-05-07 14:42:59,2013-05-07 14:42:59.900,1.0
2013-05-07 14:43:00,2013-05-07 14:43:00.900,1.0
2013-05-07 14:43:01,2013-05-07 14:43:01.900,1.0
2013-05-07 14:43:02,2013-05-07 14:43:02.900,1.0
2013-05-07 14:43:03,2013-05-07 14:43:03.900,1.0
2013-05-07 14:43:04,2013-05-07 14:43:04.900,1.0
2013-05-07 14:43:05,2013-05-07 14:43:05.900,1.0
2013-05-07 14:43:06,2013-05-07 14:43:06.900,1.0
2013-05-07 14:43:07,2013-05-07 14:43:07.900,1.0
2013-05-07 14:43:08,2013-05-07 14:43:08.900,1.0
2013-05-07 14:43:09,2013-05-07 14:43:09.900,1.0
2013-05-07 14:43:10,2013-05-07 14:43:10.900,1.0
2013-05-07 14:43:11,2013-05-07 14:43:11.900,1.0
2013-05-07 14:43:12,2013-05-07 14:43:12.900,1.0
2013-05-07 14:43:13,2013-05-07 14:43:13.900,1.0
2013-05-07 14:43:14,2013-05-07 14:43:14.900,1.0
2013-05-07 14:43:15,2013-05-07 14:43:15.900,1.0
2013-05-07 14:43:16,2013-05-07 14:43:16.900,1.0
2013-05-07 14:43:17,2013-05-07 14:43:17.900,1.0
2013-05-07 14:43:18,2013-05-07 14:43:18.900,1.0
2013-05-07 14:43:19,2013-05-07 14:43:19.900,1.0
2013-05-07 14:43:20,2013-05-07 14:43:20.900,1.0
2013-05-07 14:43:21,2013-05-07 14:43:21.900,1.0
2013-05-07 14:43:22,2013-05-07 14:43:22.900,1.0
2013-05-07 14:43:23,2013-05-07 14:43:23.900,1.0
2013-05-07 14:43:24,2013-05-07 14:43:24.900,1.0
2013-05-07 14:43:25,2013-05-07 14:43:25.900,1.0
2013-05-07 14:43:26,2013-05-07 14:43:26.900,1.0
2013-05-07 14:43:27,2013-05-07 14:43:27.900,1.0
2013-05-07 14:43:28,2013-05-07 14:43:28.900,1.0
