,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_100,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_100,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2013-05-29 09:30:00.100,10000,10000,10000,10000,0,0,0,0
2013-05-29 14:59:01.900,20000,,,,-7730.663677476711,,,
2013-05-29 15:30:04.900,,,,,,,,
2013-05-29 15:30:05.900,,,,,,,,
2013-05-29 15:30:06.900,,,,,,,,
2013-05-29 15:30:07.900,,,,,,,,
2013-05-29 15:30:08.900,,,,,,,,
2013-05-29 15:30:09.900,,,,,,,,
2013-05-29 15:30:10.900,,,,,,,,
2013-05-29 15:30:11.900,,,,,,,,
2013-05-29 15:30:12.900,,,,,,,,
2013-05-29 15:30:13.900,,,,,,,,
2013-05-29 15:30:14.900,,,,,,,,
2013-05-29 15:30:15.900,,,,,,,,
2013-05-29 15:30:16.900,,,,,,,,
2013-05-29 15:30:17.900,,,,,,,,
2013-05-29 15:30:18.900,,,,,,,,
2013-05-29 15:30:19.900,,,,,,,,
2013-05-29 15:30:20.900,,,,,,,,
2013-05-29 16:00:00.000,9995.748134977388,9995.748134977388,9994.974680119061,9994.974680119061,0,0,0,0
2013-05-29 14:59:02.000,,20000,,,,-7730.663677476711,,
2013-05-29 15:30:05.000,,,,,,,,
2013-05-29 15:30:06.000,,,,,,,,
2013-05-29 15:30:07.000,,,,,,,,
2013-05-29 15:30:08.000,,,,,,,,
2013-05-29 15:30:09.000,,,,,,,,
2013-05-29 15:30:10.000,,,,,,,,
2013-05-29 15:30:11.000,,,,,,,,
2013-05-29 15:30:12.000,,,,,,,,
2013-05-29 15:30:13.000,,,,,,,,
2013-05-29 15:30:14.000,,,,,,,,
2013-05-29 15:30:15.000,,,,,,,,
2013-05-29 15:30:16.000,,,,,,,,
2013-05-29 15:30:17.000,,,,,,,,
2013-05-29 15:30:18.000,,,,,,,,
2013-05-29 15:30:19.000,,,,,,,,
2013-05-29 15:30:20.000,,,,,,,,
2013-05-29 15:30:21.000,,,,,,,,
2013-05-29 14:59:02.900,,,20000,,,,-7731.261355290116,
2013-05-29 15:30:21.900,,,,,,,,
2013-05-29 14:59:11.900,,,,20000,,,,-7731.261355290116
2013-05-29 15:30:22.900,,,,,,,,
2013-05-29 15:30:23.900,,,,,,,,
2013-05-29 15:30:24.900,,,,,,,,
2013-05-29 15:30:25.900,,,,,,,,
2013-05-29 15:30:26.900,,,,,,,,
2013-05-29 15:30:27.900,,,,,,,,
2013-05-29 15:30:28.900,,,,,,,,
2013-05-29 15:30:29.900,,,,,,,,
2013-05-29 15:30:30.900,,,,,,,,
