Time,TIME,SIGNAL
2017-05-05 09:31:00,2017-05-05 09:31:00.900,-1.0
2017-05-05 09:31:01,2017-05-05 09:31:01.900,-1.0
2017-05-05 09:31:02,2017-05-05 09:31:02.900,-1.0
2017-05-05 09:31:03,2017-05-05 09:31:03.900,-1.0
2017-05-05 09:31:04,2017-05-05 09:31:04.900,-1.0
2017-05-05 09:31:05,2017-05-05 09:31:05.900,-1.0
2017-05-05 09:31:06,2017-05-05 09:31:06.900,-1.0
2017-05-05 09:31:25,2017-05-05 09:31:25.900,-1.0
2017-05-05 09:31:26,2017-05-05 09:31:26.900,-1.0
2017-05-05 09:31:27,2017-05-05 09:31:27.900,-1.0
2017-05-05 09:31:28,2017-05-05 09:31:28.900,-1.0
2017-05-05 09:31:29,2017-05-05 09:31:29.900,-1.0
2017-05-05 09:31:30,2017-05-05 09:31:30.900,-1.0
2017-05-05 09:31:31,2017-05-05 09:31:31.900,-1.0
2017-05-05 09:31:32,2017-05-05 09:31:32.900,-1.0
2017-05-05 09:31:33,2017-05-05 09:31:33.900,-1.0
2017-05-05 09:31:34,2017-05-05 09:31:34.900,-1.0
2017-05-05 09:31:35,2017-05-05 09:31:35.900,-1.0
2017-05-05 09:31:36,2017-05-05 09:31:36.900,-1.0
2017-05-05 09:31:37,2017-05-05 09:31:37.900,-1.0
2017-05-05 09:31:38,2017-05-05 09:31:38.900,-1.0
2017-05-05 09:31:39,2017-05-05 09:31:39.900,-1.0
2017-05-05 09:31:40,2017-05-05 09:31:40.900,-1.0
2017-05-05 09:31:41,2017-05-05 09:31:41.900,-1.0
2017-05-05 09:31:59,2017-05-05 09:31:59.900,1.0
2017-05-05 09:32:00,2017-05-05 09:32:00.900,1.0
2017-05-05 09:32:01,2017-05-05 09:32:01.900,1.0
2017-05-05 09:32:02,2017-05-05 09:32:02.900,1.0
2017-05-05 09:32:03,2017-05-05 09:32:03.900,1.0
2017-05-05 09:32:04,2017-05-05 09:32:04.900,1.0
2017-05-05 09:32:05,2017-05-05 09:32:05.900,1.0
2017-05-05 09:32:06,2017-05-05 09:32:06.900,1.0
2017-05-05 09:32:24,2017-05-05 09:32:24.900,1.0
2017-05-05 09:32:25,2017-05-05 09:32:25.900,1.0
2017-05-05 09:32:26,2017-05-05 09:32:26.900,1.0
2017-05-05 09:32:27,2017-05-05 09:32:27.900,1.0
