,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_100,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_100,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2017-05-18 09:30:00.100,10000,10000,10000,10000,0,0,0,0
2017-05-18 09:31:00.900,0,,,,148.74312063067083,,,
2017-05-18 09:31:01.900,,,0,,,,148.74312063067083,
2017-05-18 09:31:02.900,,,,,,,,
2017-05-18 09:31:03.900,,,,,,,,
2017-05-18 09:31:04.900,,,,,,,,
2017-05-18 09:31:12.900,10001.487431206306,,,,0,,,
2017-05-18 09:31:13.900,20002.97486241261,,10000.0,,-148.76524514660576,,0,
2017-05-18 09:31:14.900,,,20000.0,,,,-148.74312063067083,
2017-05-18 09:31:15.900,,,,,,,,
2017-05-18 09:31:16.900,,,,,,,,
2017-05-18 09:31:17.900,,,,,,,,
2017-05-18 09:31:18.900,,,,,,,,
2017-05-18 09:31:19.900,,,,,,,,
2017-05-18 09:31:20.900,,,,,,,,
2017-05-18 09:31:21.900,,,,,,,,
2017-05-18 09:31:22.900,,,,10002.974419988102,,,,0
2017-05-18 09:31:23.900,,,,10005.948839976205,,,,0
2017-05-18 09:31:24.900,,,,10005.948839976205,,,,0
2017-05-18 09:31:25.900,,,,10007.436049970256,,,,0
2017-05-18 09:31:26.900,,,,10007.436049970256,,,,0
2017-05-18 09:31:27.900,,,,10007.436049970256,,,,0
2017-05-18 09:31:28.900,,,,10007.436049970256,,,,0
2017-05-18 09:31:29.900,,,,10007.436049970256,,,,0
2017-05-18 09:31:30.900,,,,10004.461629982154,,,,0
2017-05-18 09:31:31.900,,,,10002.974419988102,,,,0
2017-05-18 09:31:32.900,,,,10002.974419988102,,,,0
2017-05-18 09:31:33.900,,,,10004.461629982154,,,,0
2017-05-18 09:31:34.900,,,,10004.461629982154,,,,0
2017-05-18 09:31:35.900,,,,10002.974419988102,,,,0
2017-05-18 09:31:36.900,,,,10000.0,,,,0
2017-05-18 09:31:44.900,9994.049168948975,,,,0,,,
2017-05-18 09:31:45.900,0,,9992.562843968466,,148.54413152421188,,0,
2017-05-18 09:31:46.900,,,0,,,,148.52203989251583,
2017-05-18 09:31:47.900,,,,,,,,
2017-05-18 09:31:48.900,,,,,,,,
2017-05-18 09:31:49.900,,,,,,,,
2017-05-18 09:31:50.900,,,,,,,,
