,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_100,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_100,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2017-05-18 09:30:00.100,10000,10000,10000,10000,0,0,0,0
2017-05-18 09:31:01.900,20000,,,,-148.78738282993604,,,
2017-05-18 09:31:02.900,,,20000,,,,-148.78738282993604,
2017-05-18 09:31:03.900,9997.024252343399,,,,0,,,
2017-05-18 09:31:04.900,0,,9997.024252343399,,148.6988584314056,,0,
2017-05-18 09:31:05.900,,,0,,,,148.6767437885693,
2017-05-18 09:31:06.900,,,,,,,,
2017-05-18 09:31:07.900,,,,,,,,
2017-05-18 09:31:08.900,,,,,,,,
2017-05-18 09:31:09.900,,,,,,,,
2017-05-18 09:31:10.900,,,,,,,,
2017-05-18 09:31:11.900,,,,20000,,,,-148.720999405116
2017-05-18 09:31:12.900,9998.511240927712,,,,0,,,
2017-05-18 09:31:13.900,19997.022481855423,,9995.537484905515,10000.0,-148.72097636364288,,0,0
2017-05-18 09:31:14.900,,,19991.07496981103,0,,,-148.6767437885693,148.720999405116
2017-05-18 09:31:15.900,,,,,,,,
2017-05-18 09:31:16.900,,,,,,,,
2017-05-18 09:31:17.900,,,,,,,,
2017-05-18 09:31:18.900,,,,,,,,
2017-05-18 09:31:19.900,,,,,,,,
2017-05-18 09:31:20.900,,,,,,,,
2017-05-18 09:31:21.900,,,,,,,,
2017-05-18 09:31:22.900,,,,10002.974419988102,,,,0
2017-05-18 09:31:23.900,9988.100772582258,,,20005.948839976205,0,,,-148.67678983335466
2017-05-18 09:31:24.900,0,,9985.130112840317,,148.41160137566507,,0,
2017-05-18 09:31:25.900,,,0,,,,148.36746081486356,
2017-05-18 09:31:26.900,,,,,,,,
2017-05-18 09:31:27.900,,,,,,,,
2017-05-18 09:31:28.900,9986.616656568503,,,,0,,,
2017-05-18 09:31:29.900,19973.233313137007,,9983.64643823217,,-148.41160137566507,,0,
2017-05-18 09:31:30.900,,,19967.29287646434,,,,-148.41157184825585,
2017-05-18 09:31:31.900,,,,,,,,
2017-05-18 09:31:32.900,,,,,,,,
2017-05-18 09:31:33.900,,,,10002.974419988102,,,,0
2017-05-18 09:31:34.900,,,,0,,,,148.67678983335466
2017-05-18 09:31:35.900,,,,,,,,
2017-05-18 09:31:36.900,,,,,,,,
2017-05-18 09:31:37.900,,,,,,,,
2017-05-18 09:31:38.900,,,,10000.000884191435,,,,0
2017-05-18 09:31:39.900,,,,20000.00176838287,,,,-148.67678983335466
2017-05-18 09:31:40.900,,,,,,,,
2017-05-18 09:31:41.900,,,,,,,,
2017-05-18 09:31:42.900,,,,,,,,
2017-05-18 09:31:43.900,,,,,,,,
2017-05-18 09:31:44.900,,,,,,,,
2017-05-18 09:31:45.900,,,,,,,,
2017-05-18 09:31:46.900,,,,,,,,
2017-05-18 09:31:47.900,,,,,,,,
2017-05-18 09:31:48.900,,,,,,,,
2017-05-18 09:31:49.900,,,,,,,,
2017-05-18 09:31:50.900,,,,,,,,
2017-05-18 09:31:51.900,9991.069004609773,,,,0,,,
2017-05-18 09:31:52.900,19982.138009219547,,9985.130553950652,,-148.56608185293342,,0,
2017-05-18 09:31:53.900,,,19970.261107901304,,,,-148.47777775391305,
2017-05-18 09:31:54.900,,,,,,,,
2017-05-18 09:31:55.900,9991.069004609773,,,,0,,,
2017-05-18 09:31:56.900,0,,9985.130553950652,,148.56608185293342,,0,
2017-05-18 09:31:57.900,,,0,,,,148.47777775391305,
2017-05-18 09:31:58.900,,,,,,,,
2017-05-18 09:31:59.900,,,,,,,,
2017-05-18 09:32:00.900,,,,,,,,
2017-05-18 09:32:01.900,9986.612022154184,,,10004.461187886436,0,,,0
2017-05-18 09:32:02.900,19973.22404430837,,9980.676220618036,20008.922375772872,-148.56608185293342,,0,-148.8316154103903
2017-05-18 09:32:03.900,,,19961.35244123607,,,,-148.52196756872075,
2017-05-18 09:32:04.900,9988.097682972713,,,,0,,,
2017-05-18 09:32:05.900,0,,9977.705781266663,10004.461187886436,148.58818332300973,,0,0
2017-05-18 09:32:06.900,,,0,0,,,148.43358793910537,148.8316154103903
2017-05-18 09:32:07.900,,,,,,,,
2017-05-18 09:32:08.900,,,,,,,,
2017-05-18 09:32:09.900,,,,,,,,
2017-05-18 09:32:10.900,,,,,,,,
2017-05-18 09:32:11.900,,,,10001.484555578229,,,,0
2017-05-18 09:32:12.900,,,,20002.969111156457,,,,-148.80947114385106
2017-05-18 09:32:13.900,,,,,,,,
2017-05-18 09:32:14.900,,,,10001.484555578229,,,,0
2017-05-18 09:32:15.900,,,,0,,,,148.80947114385106
2017-05-18 09:32:16.900,,,,,,,,
2017-05-18 09:32:17.900,,,,,,,,
2017-05-18 09:32:18.900,,,,,,,,
2017-05-18 09:32:19.900,,,,,,,,
2017-05-18 09:32:20.900,,,,,,,,
2017-05-18 09:32:21.900,,,,,,,,
2017-05-18 09:32:22.900,,,,,,,,
2017-05-18 09:32:23.900,,,,,,,,
2017-05-18 09:32:24.900,,,,,,,,
2017-05-18 09:32:25.900,,,,,,,,
2017-05-18 09:32:26.900,,,,,,,,
2017-05-18 09:32:27.900,,,,,,,,
2017-05-18 09:32:28.900,,,,,,,,
2017-05-18 09:32:29.900,,,,,,,,
2017-05-18 09:32:30.900,9979.182391973332,,,,0,,,
2017-05-18 09:32:31.900,0,,9970.284101869707,,148.54394748397337,,0,
2017-05-18 09:32:32.900,,,0,,,,148.36732294448967,
2017-05-18 09:32:33.900,9979.182391973332,,,,0,,,
2017-05-18 09:32:34.900,19958.364783946665,,9967.316755410817,,-148.54394748397337,,0,
2017-05-18 09:32:35.900,,,19934.633510821634,,,,-148.36732294448967,
2017-05-18 09:32:36.900,,,,,,,,
2017-05-18 09:32:37.900,9977.696952498494,,,,0,,,
2017-05-18 09:32:38.900,0,,9967.316755410817,,148.52183614912911,,0,
2017-05-18 09:32:39.900,9976.211734137003,,0,,0,,148.36732294448967,
2017-05-18 09:32:40.900,19952.423468274006,,9965.83308218137,9995.532176732475,-148.52183614912911,,0,0
2017-05-18 09:32:41.900,9973.24129741402,,19931.66616436274,0,0,,-148.34523790088375,148.76517601923612
2017-05-18 09:32:42.900,19946.48259482804,,9965.83308218137,,-148.47761347944052,,0,
2017-05-18 09:32:43.900,9970.271745144433,,19931.66616436274,9992.55687321209,0,,-148.36732294448967,0
2017-05-18 09:32:44.900,19940.543490288866,,9962.86573572248,19985.11374642418,-148.4334039771391,,0,-148.76517601923612
2017-05-18 09:32:45.900,,,19925.73147144496,,,,-148.36732294448964,
2017-05-18 09:32:46.900,,,,,,,,
2017-05-18 09:32:47.900,,,,9992.55687321209,,,,0
2017-05-18 09:32:48.900,,,,0,,,,148.74303175367803
2017-05-18 09:32:49.900,,,,9991.069442894554,,,,0
2017-05-18 09:32:50.900,,,,19982.138885789107,,,,-148.72089078437858
2017-05-18 09:32:51.900,,,,9986.607816171023,,,,0
2017-05-18 09:32:52.900,,,,19973.215632342046,,,,-148.58812403170694
2017-05-18 09:32:53.900,,,,9985.121934930705,,,,0
2017-05-18 09:32:54.900,,,,19970.24386986141,,,,-148.5881240317069
2017-05-18 09:32:55.900,,,,,,,,
2017-05-18 09:32:56.900,,,,,,,,
2017-05-18 09:32:57.900,,,,,,,,
2017-05-18 09:32:58.900,,,,,,,,
2017-05-18 09:32:59.900,,,,,,,,
2017-05-18 09:33:00.900,,,,,,,,
2017-05-18 09:33:01.900,9959.881406866034,,,,0,,,
2017-05-18 09:33:02.900,0,,9948.029003428032,,148.1023257526548,,0,
2017-05-18 09:33:03.900,,,0,,,,147.9480815500897,
2017-05-18 09:33:04.900,,,,,,,,
2017-05-18 09:33:05.900,,,,,,,,
2017-05-18 09:33:06.900,,,,,,,,
2017-05-18 09:33:07.900,,,,,,,,
2017-05-18 09:33:08.900,,,,,,,,
2017-05-18 09:33:09.900,,,,,,,,
2017-05-18 09:33:10.900,,,,,,,,
2017-05-18 09:33:11.900,,,,9970.263122527535,,,,0
2017-05-18 09:33:12.900,,,,0,,,,148.14655456950274
2017-05-18 09:33:13.900,,,,,,,,
2017-05-18 09:33:14.900,,,,,,,,
2017-05-18 09:33:15.900,,,,,,,,
2017-05-18 09:33:16.900,,,,,,,,
2017-05-18 09:33:17.900,,,,,,,,
2017-05-18 09:33:18.900,,,,,,,,
2017-05-18 09:33:19.900,,,,,,,,
2017-05-18 09:33:20.900,,,,,,,,
2017-05-18 09:33:21.900,,,,,,,,
2017-05-18 09:33:22.900,,,,,,,,
2017-05-18 09:33:23.900,,,,,,,,
2017-05-18 09:33:24.900,,,,,,,,
2017-05-18 09:33:25.900,,,,,,,,
2017-05-18 09:33:26.900,,,,,,,,
2017-05-18 09:33:27.900,,,,,,,,
2017-05-18 09:33:28.900,,,,,,,,
2017-05-18 09:33:29.900,,,,,,,,
2017-05-18 09:33:30.900,,,,,,,,
2017-05-18 09:33:31.900,,,,,,,,
2017-05-18 09:33:32.900,,,,,,,,
2017-05-18 09:33:33.900,,,,,,,,
2017-05-18 09:33:34.900,,,,,,,,
2017-05-18 09:33:35.900,,,,,,,,
2017-05-18 09:33:36.900,,,,,,,,
2017-05-18 09:33:37.900,,,,,,,,
2017-05-18 09:33:38.900,,,,,,,,
2017-05-18 09:33:39.900,,,,,,,,
2017-05-18 09:33:40.900,,,,,,,,
2017-05-18 09:33:41.900,9977.653685956355,,,,0,,,
2017-05-18 09:33:42.900,19955.30737191271,,9964.303292398541,,-148.14630565636756,,0,
2017-05-18 09:33:43.900,,,19928.606584797082,,,,-147.9480815500897,
2017-05-18 09:33:44.900,,,,,,,,
2017-05-18 09:33:45.900,,,,,,,,
2017-05-18 09:33:46.900,,,,,,,,
2017-05-18 09:33:47.900,,,,,,,,
2017-05-18 09:33:48.900,,,,,,,,
2017-05-18 09:33:49.900,,,,,,,,
2017-05-18 09:33:50.900,,,,,,,,
2017-05-18 09:33:51.900,,,,9979.151915801705,,,,0
2017-05-18 09:33:52.900,,,,19958.30383160341,,,,-148.14655456950274
2017-05-18 09:33:53.900,,,,,,,,
2017-05-18 09:33:54.900,,,,,,,,
2017-05-18 09:33:55.900,,,,,,,,
2017-05-18 09:33:56.900,,,,,,,,
2017-05-18 09:33:57.900,,,,,,,,
2017-05-18 09:33:58.900,,,,,,,,
2017-05-18 09:33:59.900,,,,,,,,
2017-05-18 09:34:00.900,,,,,,,,
2017-05-18 09:34:01.900,,,,,,,,
2017-05-18 09:34:02.900,,,,,,,,
2017-05-18 09:34:03.900,,,,,,,,
2017-05-18 09:34:04.900,,,,,,,,
2017-05-18 09:34:05.900,,,,,,,,
2017-05-18 09:34:06.900,,,,,,,,
2017-05-18 09:34:07.900,,,,,,,,
2017-05-18 09:34:08.900,,,,,,,,
2017-05-18 09:34:09.900,,,,,,,,
2017-05-18 09:34:10.900,,,,,,,,
2017-05-18 09:34:11.900,,,,,,,,
2017-05-18 09:34:12.900,,,,,,,,
