Time,TIME,SIGNAL
2017-05-09 09:59:57,2017-05-09 09:59:57.900,-1.0
2017-05-09 09:59:58,2017-05-09 09:59:58.900,-1.0
2017-05-09 09:59:59,2017-05-09 09:59:59.900,-1.0
2017-05-09 10:00:00,2017-05-09 10:00:00.900,-1.0
2017-05-09 10:00:01,2017-05-09 10:00:01.900,-1.0
2017-05-09 10:00:02,2017-05-09 10:00:02.900,-1.0
2017-05-09 10:00:03,2017-05-09 10:00:03.900,-1.0
2017-05-09 10:00:04,2017-05-09 10:00:04.900,-1.0
2017-05-09 10:00:05,2017-05-09 10:00:05.900,-1.0
2017-05-09 10:00:06,2017-05-09 10:00:06.900,-1.0
2017-05-09 10:00:07,2017-05-09 10:00:07.900,-1.0
2017-05-09 10:00:08,2017-05-09 10:00:08.900,-1.0
2017-05-09 10:00:09,2017-05-09 10:00:09.900,-1.0
2017-05-09 10:00:10,2017-05-09 10:00:10.900,-1.0
2017-05-09 10:00:11,2017-05-09 10:00:11.900,-1.0
2017-05-09 10:00:12,2017-05-09 10:00:12.900,-1.0
2017-05-09 10:00:13,2017-05-09 10:00:13.900,-1.0
2017-05-09 10:00:14,2017-05-09 10:00:14.900,-1.0
2017-05-09 10:00:15,2017-05-09 10:00:15.900,-1.0
2017-05-09 10:00:16,2017-05-09 10:00:16.900,-1.0
2017-05-09 10:00:17,2017-05-09 10:00:17.900,-1.0
2017-05-09 10:00:18,2017-05-09 10:00:18.900,-1.0
2017-05-09 10:00:19,2017-05-09 10:00:19.900,-1.0
2017-05-09 10:00:20,2017-05-09 10:00:20.900,-1.0
2017-05-09 10:00:21,2017-05-09 10:00:21.900,-1.0
2017-05-09 10:00:22,2017-05-09 10:00:22.900,-1.0
2017-05-09 10:00:23,2017-05-09 10:00:23.900,-1.0
2017-05-09 10:00:24,2017-05-09 10:00:24.900,-1.0
2017-05-09 10:00:25,2017-05-09 10:00:25.900,-1.0
2017-05-09 10:00:26,2017-05-09 10:00:26.900,-1.0
2017-05-09 10:00:27,2017-05-09 10:00:27.900,-1.0
2017-05-09 10:00:28,2017-05-09 10:00:28.900,-1.0
2017-05-09 10:00:29,2017-05-09 10:00:29.900,-1.0
2017-05-09 10:00:30,2017-05-09 10:00:30.900,-1.0
2017-05-09 10:00:31,2017-05-09 10:00:31.900,-1.0
2017-05-09 10:00:32,2017-05-09 10:00:32.900,-1.0
2017-05-09 10:00:33,2017-05-09 10:00:33.900,-1.0
2017-05-09 10:00:34,2017-05-09 10:00:34.900,-1.0
2017-05-09 10:00:35,2017-05-09 10:00:35.900,-1.0
