,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2017-05-01 09:30:00.100,10000,10000,10000,0,0,0
2017-05-01 09:56:31.900,20000,,,-145.51804423748544,,
2017-05-01 09:56:32.900,,20000,,,-145.51804423748544,
2017-05-01 09:56:33.900,,,,,,
2017-05-01 09:56:34.900,,,,,,
2017-05-01 09:56:35.900,,,,,,
2017-05-01 10:11:10.900,10011.641443539,,,0,,
2017-05-01 10:11:11.900,0,10011.641443539,,145.85724713780593,0,
2017-05-01 10:11:12.900,,0,,,145.87849983300308,
2017-05-01 10:19:28.900,10020.392878367267,,,0,,
2017-05-01 10:19:29.900,20040.785756734535,10021.852938527312,,-145.85724713780593,0,
2017-05-01 10:30:30.900,,,,,,
2017-05-01 10:30:31.900,,,,,,
2017-05-01 10:30:32.900,,,,,,
2017-05-01 10:30:33.900,,,,,,
2017-05-01 10:30:34.900,,,,,,
2017-05-01 10:30:35.900,,,,,,
2017-05-01 10:30:36.900,,,,,,
2017-05-01 10:30:37.900,,,,,,
2017-05-01 10:30:38.900,,,,,,
2017-05-01 10:30:39.900,,,,,,
2017-05-01 10:30:40.900,,,,,,
2017-05-01 10:30:41.900,,,,,,
2017-05-01 10:30:42.900,,,,,,
2017-05-01 10:30:43.900,,,,,,
2017-05-01 10:30:44.900,,,,,,
2017-05-01 10:30:45.900,,,,,,
2017-05-01 10:30:46.900,,,,,,
2017-05-01 10:30:47.900,,,,,,
2017-05-01 10:30:48.900,,,,,,
2017-05-01 10:30:49.900,,,,,,
2017-05-01 10:30:50.900,,,,,,
2017-05-01 10:30:51.900,,,,,,
2017-05-01 10:30:52.900,,,,,,
2017-05-01 10:30:53.900,,,,,,
2017-05-01 10:30:54.900,,,,,,
2017-05-01 10:30:55.900,,,,,,
2017-05-01 10:37:01.900,,,,,,
2017-05-01 10:37:02.900,,,,,,
2017-05-01 10:37:03.900,,,,,,
2017-05-01 10:37:04.900,,,,,,
2017-05-01 10:37:05.900,,,,,,
2017-05-01 10:37:06.900,,,,,,
2017-05-01 10:37:07.900,,,,,,
2017-05-01 10:37:08.900,,,,,,
2017-05-01 10:37:09.900,,,,,,
2017-05-01 10:37:10.900,,,,,,
2017-05-01 10:37:11.900,,,,,,
2017-05-01 10:37:12.900,,,,,,
2017-05-01 10:37:13.900,,,,,,
2017-05-01 10:37:14.900,,,,,,
2017-05-01 10:37:15.900,,,,,,
2017-05-01 10:37:16.900,,,,,,
2017-05-01 10:37:17.900,,,,,,
2017-05-01 10:41:02.900,10021.851450838645,,,0,,
2017-05-01 10:41:03.900,0,10021.852938527312,,145.8997154001841,0,
2017-05-01 10:41:04.900,,10021.852938527312,,,0,
2017-05-01 10:41:05.900,,10021.852938527312,,,0,
2017-05-01 10:41:06.900,,10021.852938527312,,,0,
2017-05-01 10:41:07.900,,10021.852938527312,,,0,
2017-05-01 10:41:08.900,,10021.852938527312,,,0,
2017-05-01 10:41:09.900,,10021.852938527312,,,0,
2017-05-01 10:41:10.900,,10021.852938527312,,,0,
2017-05-01 10:41:11.900,,10021.852938527312,,,0,
2017-05-01 10:48:20.900,10027.687439454654,,,0,,
2017-05-01 10:48:21.900,20055.374878909308,20040.78788231346,,-145.8997154001841,-145.79359728148887,
2017-05-01 10:48:22.900,,20040.78788231346,,,-145.79359728148887,
2017-05-01 10:48:23.900,,20040.78788231346,,,-145.79359728148887,
2017-05-01 10:48:24.900,,20040.78788231346,,,-145.79359728148887,
2017-05-01 10:48:25.900,,20040.78788231346,,,-145.79359728148887,
2017-05-01 10:48:26.900,,20040.78788231346,,,-145.79359728148887,
2017-05-01 10:48:27.900,,20040.78788231346,,,-145.79359728148887,
2017-05-01 10:48:28.900,,20040.78788231346,,,-145.75118459864333,
2017-05-01 10:59:00.900,,,,,,
2017-05-01 10:59:01.900,,,,,,
2017-05-01 10:59:02.900,,,,,,
2017-05-01 10:59:03.900,,,,,,
2017-05-01 10:59:04.900,,,,,,
2017-05-01 10:59:05.900,,,,,,
2017-05-01 10:59:06.900,,,,,,
2017-05-01 10:59:07.900,,,,,,
2017-05-01 10:59:08.900,,,,,,
2017-05-01 10:59:09.900,,,,,,
2017-05-01 10:59:10.900,,,,,,
2017-05-01 10:59:11.900,,,,,,
2017-05-01 10:59:12.900,,,,,,
2017-05-01 10:59:13.900,,,,,,
2017-05-01 10:59:14.900,,,,,,
2017-05-01 10:59:15.900,,,,,,
2017-05-01 10:59:16.900,,,,,,
2017-05-01 10:59:17.900,,,,,,
2017-05-01 10:59:18.900,,,,,,
2017-05-01 10:59:19.900,,,,,,
2017-05-01 10:59:20.900,,,,,,
2017-05-01 10:59:21.900,,,,,,
2017-05-01 10:59:22.900,,,,,,
2017-05-01 10:59:23.900,,,,,,
2017-05-01 10:59:24.900,,,,,,
2017-05-01 10:59:25.900,,,,,,
2017-05-01 11:00:41.900,,,,,,
2017-05-01 11:00:42.900,,,,,,
2017-05-01 11:00:43.900,,,,,,
2017-05-01 11:00:44.900,,,,,,
2017-05-01 11:00:45.900,,,,,,
2017-05-01 11:00:46.900,,,,,,
2017-05-01 11:00:47.900,,,,,,
2017-05-01 11:00:48.900,,,,,,
2017-05-01 11:00:49.900,,,,,,
2017-05-01 11:00:50.900,,,,,,
2017-05-01 11:00:51.900,,,,,,
2017-05-01 11:00:52.900,,,,,,
2017-05-01 11:00:53.900,,,,,,
2017-05-01 11:00:54.900,,,,,,
2017-05-01 11:00:55.900,,,,,,
2017-05-01 11:00:56.900,,,,,,
2017-05-01 11:00:57.900,,,,,,
2017-05-01 11:00:58.900,,,,,,
2017-05-01 11:00:59.900,,,,,,
2017-05-01 11:02:05.900,,,,,,
2017-05-01 11:02:06.900,,,,,,
2017-05-01 11:02:07.900,,,,,,
2017-05-01 11:02:08.900,,,,,,
2017-05-01 11:02:09.900,,,,,,
2017-05-01 11:02:10.900,,,,,,
2017-05-01 11:02:11.900,,,,,,
2017-05-01 11:02:12.900,,,,,,
2017-05-01 11:02:13.900,,,,,,
2017-05-01 11:02:14.900,,,,,,
2017-05-01 11:02:15.900,,,,,,
2017-05-01 11:02:16.900,,,,,,
2017-05-01 11:02:17.900,,,,,,
2017-05-01 11:02:18.900,,,,,,
2017-05-01 11:02:19.900,,,,,,
2017-05-01 11:02:20.900,,,,,,
2017-05-01 11:02:21.900,,,,,,
2017-05-01 11:02:22.900,,,,,,
2017-05-01 11:02:23.900,,,,,,
2017-05-01 11:02:24.900,,,,,,
2017-05-01 11:02:25.900,,,,,,
2017-05-01 11:09:07.900,,,,,,
2017-05-01 11:09:08.900,,,,,,
2017-05-01 11:09:09.900,,,,,,
2017-05-01 11:09:10.900,,,,,,
2017-05-01 11:09:11.900,,,,,,
2017-05-01 11:09:12.900,,,,,,
2017-05-01 11:09:13.900,,,,,,
2017-05-01 11:09:14.900,,,,,,
2017-05-01 11:09:15.900,,,,,,
2017-05-01 11:09:16.900,,,,,,
2017-05-01 11:09:17.900,,,,,,
2017-05-01 11:09:18.900,,,,,,
2017-05-01 11:09:19.900,,,,,,
2017-05-01 11:09:20.900,,,,,,
2017-05-01 11:09:21.900,,,,,,
2017-05-01 11:09:22.900,,,,,,
2017-05-01 11:09:23.900,,,,,,
2017-05-01 11:09:24.900,,,,,,
2017-05-01 11:09:25.900,,,,,,
2017-05-01 11:09:26.900,,,,,,
2017-05-01 11:09:27.900,,,,,,
2017-05-01 11:09:28.900,,,,,,
2017-05-01 11:09:29.900,,,,,,
2017-05-01 11:09:30.900,,,,,,
2017-05-01 11:09:31.900,,,,,,
2017-05-01 11:09:32.900,,,,,,
2017-05-01 11:09:33.900,,,,,,
2017-05-01 11:09:34.900,,,,,,
2017-05-01 11:09:35.900,,,,,,
2017-05-01 11:09:36.900,,,,,,
2017-05-01 11:09:37.900,,,,,,
2017-05-01 11:09:38.900,,,,,,
2017-05-01 11:09:39.900,,,,,,
2017-05-01 11:09:40.900,,,,,,
2017-05-01 11:09:41.900,,,,,,
2017-05-01 11:09:42.900,,,,,,
2017-05-01 11:09:43.900,,,,,,
2017-05-01 11:09:44.900,,,,,,
2017-05-01 11:09:45.900,,,,,,
2017-05-01 11:09:46.900,,,,,,
2017-05-01 11:09:47.900,,,,,,
2017-05-01 11:09:48.900,,,,,,
2017-05-01 11:09:49.900,,,,,,
2017-05-01 11:09:50.900,,,,,,
2017-05-01 11:09:51.900,,,,,,
2017-05-01 11:09:52.900,,,,,,
2017-05-01 11:09:53.900,,,,,,
2017-05-01 11:09:54.900,,,,,,
2017-05-01 11:09:55.900,,,,,,
2017-05-01 11:09:56.900,,,,,,
2017-05-01 11:09:57.900,,,,,,
2017-05-01 11:09:58.900,,,,,,
2017-05-01 11:09:59.900,,,,,,
2017-05-01 11:10:00.900,,,,,,
2017-05-01 11:10:01.900,,,,,,
2017-05-01 11:10:02.900,,,,,,
