,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_100,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_100,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2017-05-04 09:30:00.100,10000,10000,10000,10000,0,0,0,0
2017-05-04 10:14:14.900,0,,,,145.4968718172559,,,
2017-05-04 10:14:15.900,,,0,,,,145.4968718172559,
2017-05-04 10:14:16.900,,,,,,,,
2017-05-04 10:28:25.900,,,,,,,,
2017-05-04 10:28:26.900,,,,,,,,
2017-05-04 10:28:27.900,,,,,,,,
2017-05-04 10:28:28.900,,,,,,,,
2017-05-04 10:28:29.900,,,,,,,,
2017-05-04 10:28:30.900,,,,,,,,
2017-05-04 10:28:31.900,,,,,,,,
2017-05-04 10:28:32.900,,,,,,,,
2017-05-04 10:28:33.900,,,,,,,,
2017-05-04 10:28:34.900,,,,,,,,
2017-05-04 10:28:35.900,,,,,,,,
2017-05-04 10:28:36.900,,,,,,,,
2017-05-04 10:48:19.900,10018.914593336242,,,,0,,,
2017-05-04 10:48:20.900,20037.829186672483,,10018.914593336242,,-145.4968718172559,,0,
2017-05-04 10:48:21.900,,,20037.829186672483,,,,-145.4968718172559,
2017-05-04 10:48:22.900,,,,,,,,
2017-05-04 10:48:23.900,,,,,,,,
2017-05-04 10:48:24.900,,,,,,,,
2017-05-04 10:48:25.900,,,,,,,,
2017-05-04 10:48:26.900,,,,,,,,
2017-05-04 10:48:27.900,,,,,,,,
2017-05-04 10:48:28.900,,,,,,,,
2017-05-04 10:48:29.900,,,,10017.457084666861,,,,0
2017-05-04 10:48:30.900,,,,10017.457084666861,,,,0
2017-05-04 10:48:31.900,,,,10017.457084666861,,,,0
2017-05-04 10:48:32.900,,,,10017.457084666861,,,,0
2017-05-04 10:48:33.900,,,,10017.457084666861,,,,0
2017-05-04 10:48:34.900,,,,10018.911841722433,,,,0
2017-05-04 10:48:35.900,,,,10020.366598778002,,,,0
2017-05-04 10:49:02.900,,,,,,,,
2017-05-04 10:49:03.900,,,,,,,,
2017-05-04 10:49:04.900,,,,,,,,
2017-05-04 10:49:05.900,,,,,,,,
2017-05-04 10:49:06.900,,,,,,,,
2017-05-04 10:49:07.900,,,,,,,,
2017-05-04 10:49:08.900,,,,,,,,
2017-05-04 10:49:09.900,,,,,,,,
2017-05-04 10:49:10.900,,,,,,,,
2017-05-04 10:49:11.900,,,,,,,,
2017-05-04 10:49:12.900,,,,,,,,
2017-05-04 10:49:13.900,,,,,,,,
2017-05-04 10:49:14.900,,,,,,,,
2017-05-04 11:17:21.900,10030.554343081621,,,,0,,,
2017-05-04 11:17:22.900,0,,10030.554343081621,,145.8353350259032,,0,
2017-05-04 11:17:23.900,,,0,,,,145.8353350259032,
2017-05-04 11:17:24.900,,,,,,,,
2017-05-04 11:17:25.900,,,,,,,,
2017-05-04 11:17:26.900,,,,,,,,
2017-05-04 11:17:27.900,,,,,,,,
2017-05-04 11:17:28.900,,,,,,,,
2017-05-04 11:17:29.900,,,,,,,,
2017-05-04 11:17:30.900,,,,,,,,
2017-05-04 11:17:31.900,,,,10032.004655222578,,,,0
2017-05-04 11:17:32.900,,,,10032.004655222578,,,,0
2017-05-04 11:19:36.900,10039.304463183176,,,,0,,,
2017-05-04 11:19:37.900,20078.608926366353,,10039.304463183176,,-145.8353350259032,,0,
2017-05-04 11:19:38.900,,,20078.608926366353,,,,-145.8353350259032,
2017-05-04 11:19:39.900,,,,,,,,
2017-05-04 11:19:40.900,,,,,,,,
2017-05-04 11:19:41.900,,,,,,,,
2017-05-04 11:19:42.900,,,,,,,,
2017-05-04 11:19:43.900,,,,,,,,
2017-05-04 11:19:44.900,,,,,,,,
2017-05-04 11:19:45.900,,,,,,,,
2017-05-04 11:19:46.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:47.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:48.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:49.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:50.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:51.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:52.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:53.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:54.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:55.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:56.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:57.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:58.900,,,,10039.298742386949,,,,0
2017-05-04 11:19:59.900,,,,10039.298742386949,,,,0
2017-05-04 11:20:00.900,,,,10039.298742386949,,,,0
2017-05-04 11:20:01.900,,,,10040.756883090275,,,,0
2017-05-04 11:20:02.900,,,,10040.756883090275,,,,0
2017-05-04 11:20:03.900,,,,10040.756883090275,,,,0
2017-05-04 11:20:04.900,,,,10040.756883090275,,,,0
2017-05-04 11:20:05.900,,,,10042.215023793598,,,,0
2017-05-04 11:20:06.900,,,,10042.215023793598,,,,0
2017-05-04 11:20:07.900,,,,10042.215023793598,,,,0
2017-05-04 11:20:08.900,,,,10042.215023793598,,,,0
2017-05-04 11:20:09.900,,,,10042.215023793598,,,,0
2017-05-04 11:20:10.900,,,,10042.215023793598,,,,0
2017-05-04 11:20:11.900,,,,10042.215023793598,,,,0
2017-05-04 11:20:12.900,,,,10043.673164496922,,,,0
2017-05-04 11:20:13.900,,,,10043.673164496922,,,,0
2017-05-04 11:20:14.900,,,,10043.673164496922,,,,0
2017-05-04 11:20:15.900,,,,10043.673164496922,,,,0
2017-05-04 11:20:16.900,,,,10043.673164496922,,,,0
2017-05-04 11:20:17.900,,,,10043.673164496922,,,,0
2017-05-04 11:20:18.900,,,,10043.673164496922,,,,0
2017-05-04 11:20:19.900,,,,10043.673164496922,,,,0
2017-05-04 11:20:20.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:21.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:22.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:23.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:24.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:25.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:26.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:27.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:28.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:29.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:30.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:31.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:32.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:33.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:34.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:35.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:36.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:37.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:38.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:39.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:40.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:41.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:42.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:43.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:44.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:45.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:46.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:47.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:48.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:49.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:50.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:51.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:52.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:53.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:54.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:55.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:56.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:57.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:58.900,,,,10045.131305200246,,,,0
2017-05-04 11:20:59.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:00.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:01.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:02.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:03.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:04.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:05.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:06.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:07.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:08.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:09.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:10.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:11.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:12.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:13.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:14.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:15.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:16.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:17.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:18.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:19.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:20.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:21.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:22.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:23.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:24.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:25.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:26.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:27.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:28.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:29.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:30.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:31.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:32.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:33.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:34.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:35.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:36.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:37.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:38.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:39.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:40.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:41.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:42.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:43.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:44.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:45.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:46.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:47.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:48.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:49.900,,,,10045.131305200246,,,,0
2017-05-04 11:21:50.900,,,,10045.131305200246,,,,0
