Time,TIME,SIGNAL
2017-05-10 09:31:01,2017-05-10 09:31:01.900,-1.0
2017-05-10 09:31:02,2017-05-10 09:31:02.900,-1.0
2017-05-10 09:31:03,2017-05-10 09:31:03.900,-1.0
2017-05-10 09:31:04,2017-05-10 09:31:04.900,-1.0
2017-05-10 09:31:05,2017-05-10 09:31:05.900,-1.0
2017-05-10 09:31:06,2017-05-10 09:31:06.900,-1.0
2017-05-10 09:31:07,2017-05-10 09:31:07.900,-1.0
2017-05-10 09:31:08,2017-05-10 09:31:08.900,-1.0
2017-05-10 09:31:09,2017-05-10 09:31:09.900,-1.0
2017-05-10 09:31:10,2017-05-10 09:31:10.900,1.0
2017-05-10 09:31:11,2017-05-10 09:31:11.900,-1.0
2017-05-10 09:31:12,2017-05-10 09:31:12.900,-1.0
2017-05-10 09:31:13,2017-05-10 09:31:13.900,-1.0
2017-05-10 09:31:14,2017-05-10 09:31:14.900,-1.0
2017-05-10 09:31:15,2017-05-10 09:31:15.900,-1.0
2017-05-10 09:31:16,2017-05-10 09:31:16.900,-1.0
2017-05-10 09:31:17,2017-05-10 09:31:17.900,-1.0
2017-05-10 09:31:18,2017-05-10 09:31:18.900,-1.0
2017-05-10 09:31:19,2017-05-10 09:31:19.900,-1.0
2017-05-10 09:31:20,2017-05-10 09:31:20.900,-1.0
2017-05-10 09:31:21,2017-05-10 09:31:21.900,-1.0
2017-05-10 09:31:22,2017-05-10 09:31:22.900,-1.0
2017-05-10 09:31:23,2017-05-10 09:31:23.900,-1.0
2017-05-10 09:31:24,2017-05-10 09:31:24.900,-1.0
2017-05-10 09:31:25,2017-05-10 09:31:25.900,-1.0
2017-05-10 09:31:26,2017-05-10 09:31:26.900,-1.0
2017-05-10 09:31:27,2017-05-10 09:31:27.900,-1.0
2017-05-10 09:31:28,2017-05-10 09:31:28.900,-1.0
2017-05-10 09:31:29,2017-05-10 09:31:29.900,-1.0
2017-05-10 09:31:30,2017-05-10 09:31:30.900,-1.0
2017-05-10 09:31:31,2017-05-10 09:31:31.900,-1.0
2017-05-10 09:31:32,2017-05-10 09:31:32.900,-1.0
2017-05-10 09:31:33,2017-05-10 09:31:33.900,-1.0
2017-05-10 09:31:34,2017-05-10 09:31:34.900,-1.0
2017-05-10 09:31:35,2017-05-10 09:31:35.900,-1.0
2017-05-10 09:31:36,2017-05-10 09:31:36.900,-1.0
2017-05-10 09:31:37,2017-05-10 09:31:37.900,-1.0
2017-05-10 09:31:38,2017-05-10 09:31:38.900,-1.0
2017-05-10 09:31:39,2017-05-10 09:31:39.900,-1.0
2017-05-10 09:31:40,2017-05-10 09:31:40.900,-1.0
2017-05-10 09:32:09,2017-05-10 09:32:09.900,1.0
2017-05-10 09:32:10,2017-05-10 09:32:10.900,1.0
2017-05-10 09:32:11,2017-05-10 09:32:11.900,1.0
2017-05-10 09:32:12,2017-05-10 09:32:12.900,1.0
2017-05-10 09:32:13,2017-05-10 09:32:13.900,1.0
2017-05-10 09:32:14,2017-05-10 09:32:14.900,1.0
2017-05-10 09:32:15,2017-05-10 09:32:15.900,1.0
2017-05-10 09:32:16,2017-05-10 09:32:16.900,1.0
2017-05-10 09:32:17,2017-05-10 09:32:17.900,1.0
2017-05-10 09:32:18,2017-05-10 09:32:18.900,1.0
2017-05-10 09:32:19,2017-05-10 09:32:19.900,1.0
2017-05-10 09:32:20,2017-05-10 09:32:20.900,1.0
2017-05-10 09:32:21,2017-05-10 09:32:21.900,1.0
2017-05-10 09:32:22,2017-05-10 09:32:22.900,1.0
2017-05-10 09:32:23,2017-05-10 09:32:23.900,1.0
2017-05-10 09:32:24,2017-05-10 09:32:24.900,1.0
2017-05-10 09:32:25,2017-05-10 09:32:25.900,1.0
2017-05-10 09:32:26,2017-05-10 09:32:26.900,1.0
2017-05-10 09:32:27,2017-05-10 09:32:27.900,1.0
2017-05-10 09:32:28,2017-05-10 09:32:28.900,1.0
2017-05-10 09:32:29,2017-05-10 09:32:29.900,1.0
2017-05-10 09:32:30,2017-05-10 09:32:30.900,1.0
2017-05-10 09:32:31,2017-05-10 09:32:31.900,1.0
2017-05-10 09:32:32,2017-05-10 09:32:32.900,1.0
2017-05-10 09:32:33,2017-05-10 09:32:33.900,1.0
2017-05-10 09:32:34,2017-05-10 09:32:34.900,1.0
2017-05-10 09:32:35,2017-05-10 09:32:35.900,1.0
2017-05-10 09:32:36,2017-05-10 09:32:36.900,1.0
2017-05-10 09:32:37,2017-05-10 09:32:37.900,1.0
2017-05-10 09:32:38,2017-05-10 09:32:38.900,1.0
2017-05-10 09:32:39,2017-05-10 09:32:39.900,1.0
2017-05-10 09:32:40,2017-05-10 09:32:40.900,1.0
2017-05-10 09:32:41,2017-05-10 09:32:41.900,1.0
2017-05-10 09:32:42,2017-05-10 09:32:42.900,1.0
2017-05-10 09:32:43,2017-05-10 09:32:43.900,1.0
2017-05-10 09:32:44,2017-05-10 09:32:44.900,-1.0
2017-05-10 09:32:45,2017-05-10 09:32:45.900,-1.0
2017-05-10 09:32:46,2017-05-10 09:32:46.900,-1.0
2017-05-10 09:32:47,2017-05-10 09:32:47.900,-1.0
2017-05-10 09:32:48,2017-05-10 09:32:48.900,-1.0
2017-05-10 09:32:49,2017-05-10 09:32:49.900,-1.0
2017-05-10 09:32:50,2017-05-10 09:32:50.900,-1.0
2017-05-10 09:32:51,2017-05-10 09:32:51.900,-1.0
2017-05-10 09:32:52,2017-05-10 09:32:52.900,-1.0
2017-05-10 09:32:53,2017-05-10 09:32:53.900,-1.0
2017-05-10 09:32:54,2017-05-10 09:32:54.900,-1.0
2017-05-10 09:32:55,2017-05-10 09:32:55.900,-1.0
2017-05-10 09:32:56,2017-05-10 09:32:56.900,-1.0
2017-05-10 09:32:57,2017-05-10 09:32:57.900,-1.0
2017-05-10 09:32:58,2017-05-10 09:32:58.900,-1.0
2017-05-10 09:32:59,2017-05-10 09:32:59.900,-1.0
2017-05-10 09:33:00,2017-05-10 09:33:00.900,-1.0
2017-05-10 09:33:01,2017-05-10 09:33:01.900,-1.0
2017-05-10 09:33:02,2017-05-10 09:33:02.900,-1.0
2017-05-10 09:33:03,2017-05-10 09:33:03.900,-1.0
2017-05-10 09:33:04,2017-05-10 09:33:04.900,-1.0
2017-05-10 09:33:05,2017-05-10 09:33:05.900,-1.0
2017-05-10 09:33:06,2017-05-10 09:33:06.900,-1.0
2017-05-10 09:33:07,2017-05-10 09:33:07.900,-1.0
2017-05-10 09:33:08,2017-05-10 09:33:08.900,-1.0
2017-05-10 09:33:09,2017-05-10 09:33:09.900,-1.0
2017-05-10 09:33:10,2017-05-10 09:33:10.900,-1.0
