,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_100,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_100,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2017-05-17 09:30:00.100,10000,10000,10000,10000,0,0,0,0
2017-05-17 09:31:01.900,20000,,,,-591.715976331361,,,
2017-05-17 09:31:02.900,,,20000,,,,-591.715976331361,
2017-05-17 09:31:03.900,,,,,,,,
2017-05-17 09:31:04.900,,,,,,,,
2017-05-17 09:31:05.900,,,,,,,,
2017-05-17 09:31:06.900,,,,,,,,
2017-05-17 09:31:07.900,,,,,,,,
2017-05-17 09:31:08.900,,,,,,,,
2017-05-17 09:31:09.900,,,,,,,,
2017-05-17 09:31:10.900,,,,,,,,
2017-05-17 09:31:11.900,,,,20000,,,,-591.715976331361
2017-05-17 09:31:12.900,,,,,,,,
2017-05-17 09:31:13.900,,,,,,,,
2017-05-17 09:31:14.900,,,,,,,,
2017-05-17 09:31:15.900,,,,,,,,
2017-05-17 09:31:16.900,,,,,,,,
2017-05-17 09:31:17.900,,,,,,,,
2017-05-17 09:31:18.900,,,,,,,,
2017-05-17 09:31:19.900,,,,,,,,
2017-05-17 09:31:20.900,,,,,,,,
2017-05-17 09:31:21.900,,,,,,,,
2017-05-17 09:31:22.900,,,,,,,,
2017-05-17 09:31:23.900,,,,,,,,
2017-05-17 09:31:24.900,,,,,,,,
2017-05-17 09:31:25.900,,,,,,,,
2017-05-17 09:31:26.900,,,,,,,,
2017-05-17 09:32:01.900,9970.41420118343,,,,0,,,
2017-05-17 09:32:02.900,0,,9970.41420118343,,588.2250266184915,,0,
2017-05-17 09:32:03.900,,,0,,,,588.2250266184915,
2017-05-17 09:32:04.900,,,,,,,,
2017-05-17 09:32:05.900,,,,,,,,
2017-05-17 09:32:06.900,,,,,,,,
2017-05-17 09:32:07.900,,,,,,,,
2017-05-17 09:32:08.900,,,,,,,,
2017-05-17 09:32:09.900,,,,,,,,
2017-05-17 09:32:10.900,,,,,,,,
2017-05-17 09:32:11.900,,,,9970.41420118343,,,,0
2017-05-17 09:32:12.900,,,,0,,,,588.2250266184915
2017-05-17 09:32:13.900,,,,,,,,
2017-05-17 09:32:14.900,,,,,,,,
2017-05-17 09:32:15.900,,,,,,,,
2017-05-17 09:32:16.900,,,,,,,,
2017-05-17 09:32:17.900,,,,,,,,
2017-05-17 09:32:18.900,,,,,,,,
2017-05-17 09:32:19.900,,,,,,,,
2017-05-17 09:32:20.900,,,,,,,,
