Time,TIME,SIGNAL
2017-05-22 09:35:23,2017-05-22 09:35:23.900,-1.0
2017-05-22 09:35:24,2017-05-22 09:35:24.900,-1.0
2017-05-22 09:35:25,2017-05-22 09:35:25.900,-1.0
2017-05-22 09:35:26,2017-05-22 09:35:26.900,-1.0
2017-05-22 09:35:27,2017-05-22 09:35:27.900,-1.0
2017-05-22 09:35:28,2017-05-22 09:35:28.900,-1.0
2017-05-22 09:35:29,2017-05-22 09:35:29.900,-1.0
2017-05-22 09:35:30,2017-05-22 09:35:30.900,-1.0
2017-05-22 09:35:31,2017-05-22 09:35:31.900,-1.0
2017-05-22 09:35:32,2017-05-22 09:35:32.900,-1.0
2017-05-22 09:35:33,2017-05-22 09:35:33.900,-1.0
2017-05-22 09:35:34,2017-05-22 09:35:34.900,-1.0
2017-05-22 09:35:35,2017-05-22 09:35:35.900,-1.0
2017-05-22 09:35:36,2017-05-22 09:35:36.900,-1.0
2017-05-22 09:35:37,2017-05-22 09:35:37.900,-1.0
2017-05-22 09:35:38,2017-05-22 09:35:38.900,-1.0
2017-05-22 09:35:39,2017-05-22 09:35:39.900,-1.0
2017-05-22 09:35:40,2017-05-22 09:35:40.900,-1.0
2017-05-22 09:35:41,2017-05-22 09:35:41.900,-1.0
2017-05-22 09:35:42,2017-05-22 09:35:42.900,-1.0
2017-05-22 09:35:43,2017-05-22 09:35:43.900,-1.0
2017-05-22 09:35:44,2017-05-22 09:35:44.900,-1.0
2017-05-22 09:35:45,2017-05-22 09:35:45.900,-1.0
2017-05-22 09:35:46,2017-05-22 09:35:46.900,-1.0
2017-05-22 09:35:47,2017-05-22 09:35:47.900,-1.0
2017-05-22 09:35:48,2017-05-22 09:35:48.900,-1.0
2017-05-22 09:35:49,2017-05-22 09:35:49.900,-1.0
2017-05-22 09:35:50,2017-05-22 09:35:50.900,-1.0
2017-05-22 09:35:51,2017-05-22 09:35:51.900,-1.0
2017-05-22 09:35:52,2017-05-22 09:35:52.900,-1.0
2017-05-22 09:35:53,2017-05-22 09:35:53.900,-1.0
2017-05-22 09:35:54,2017-05-22 09:35:54.900,-1.0
2017-05-22 09:35:55,2017-05-22 09:35:55.900,-1.0
2017-05-22 09:35:56,2017-05-22 09:35:56.900,-1.0
2017-05-22 09:35:57,2017-05-22 09:35:57.900,-1.0
2017-05-22 09:35:58,2017-05-22 09:35:58.900,-1.0
2017-05-22 09:35:59,2017-05-22 09:35:59.900,-1.0
2017-05-22 09:36:00,2017-05-22 09:36:00.900,-1.0
2017-05-22 09:36:01,2017-05-22 09:36:01.900,-1.0
2017-05-22 09:36:02,2017-05-22 09:36:02.900,-1.0
2017-05-22 09:36:03,2017-05-22 09:36:03.900,-1.0
