,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_100,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_100,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2017-05-23 09:30:00.100,10000,10000,10000,10000,0,0,0,0
2017-05-23 09:36:16.900,0,,,,574.7126436781609,,,
2017-05-23 09:36:17.900,,,0,,,,574.7126436781609,
2017-05-23 09:36:18.900,,,,,,,,
2017-05-23 09:36:19.900,,,,,,,,
2017-05-23 09:36:20.900,,,,,,,,
2017-05-23 09:36:21.900,,,,,,,,
2017-05-23 09:36:22.900,,,,,,,,
2017-05-23 09:36:23.900,,,,,,,,
2017-05-23 09:36:24.900,,,,,,,,
2017-05-23 09:36:25.900,,,,,,,,
2017-05-23 09:36:26.900,,,,0,,,,574.7126436781609
2017-05-23 09:36:27.900,,,,,,,,
2017-05-23 09:36:28.900,,,,,,,,
2017-05-23 09:36:29.900,,,,,,,,
2017-05-23 09:36:30.900,,,,,,,,
2017-05-23 09:36:31.900,,,,,,,,
2017-05-23 09:36:32.900,,,,,,,,
2017-05-23 09:36:33.900,,,,,,,,
2017-05-23 09:36:34.900,,,,,,,,
2017-05-23 09:36:35.900,,,,,,,,
2017-05-23 09:36:36.900,,,,,,,,
2017-05-23 09:36:37.900,,,,,,,,
2017-05-23 09:36:38.900,,,,,,,,
2017-05-23 09:36:39.900,,,,,,,,
2017-05-23 09:36:40.900,,,,,,,,
2017-05-23 09:36:41.900,,,,,,,,
2017-05-23 09:36:42.900,,,,,,,,
2017-05-23 09:36:43.900,,,,,,,,
2017-05-23 09:36:44.900,,,,,,,,
2017-05-23 09:36:45.900,,,,,,,,
2017-05-23 09:36:46.900,,,,,,,,
2017-05-23 09:36:47.900,,,,,,,,
2017-05-23 09:36:48.900,,,,,,,,
2017-05-23 09:36:49.900,,,,,,,,
2017-05-23 09:36:50.900,,,,,,,,
2017-05-23 09:36:51.900,,,,,,,,
2017-05-23 09:36:52.900,,,,,,,,
2017-05-23 09:36:53.900,,,,,,,,
2017-05-23 09:36:54.900,,,,,,,,
2017-05-23 09:36:55.900,,,,,,,,
2017-05-23 09:36:56.900,,,,,,,,
2017-05-23 09:36:57.900,,,,,,,,
2017-05-23 09:36:58.900,,,,,,,,
2017-05-23 09:36:59.900,,,,,,,,
2017-05-23 09:37:00.900,,,,,,,,
2017-05-23 09:37:01.900,,,,,,,,
2017-05-23 09:37:02.900,,,,,,,,
2017-05-23 09:37:03.900,,,,,,,,
2017-05-23 09:37:04.900,,,,,,,,
2017-05-23 09:37:05.900,,,,,,,,
2017-05-23 09:37:06.900,,,,,,,,
2017-05-23 09:37:07.900,,,,,,,,
2017-05-23 09:37:08.900,,,,,,,,
2017-05-23 09:37:09.900,,,,,,,,
2017-05-23 09:37:10.900,,,,,,,,
2017-05-23 09:37:11.900,,,,,,,,
2017-05-23 09:37:12.900,,,,,,,,
2017-05-23 09:37:13.900,,,,,,,,
2017-05-23 09:37:14.900,,,,,,,,
2017-05-23 09:37:15.900,,,,,,,,
2017-05-23 09:37:16.900,,,,,,,,
2017-05-23 09:37:17.900,,,,,,,,
2017-05-23 09:37:18.900,,,,,,,,
2017-05-23 09:37:19.900,,,,,,,,
2017-05-23 09:37:20.900,,,,,,,,
2017-05-23 09:37:21.900,,,,,,,,
2017-05-23 09:37:22.900,,,,,,,,
2017-05-23 09:37:23.900,,,,,,,,
2017-05-23 09:37:24.900,,,,,,,,
2017-05-23 09:37:25.900,,,,,,,,
2017-05-23 09:37:26.900,,,,,,,,
2017-05-23 09:37:27.900,,,,,,,,
2017-05-23 09:37:28.900,,,,,,,,
2017-05-23 09:37:29.900,,,,,,,,
2017-05-23 09:37:30.900,,,,,,,,
2017-05-23 09:37:31.900,,,,,,,,
2017-05-23 09:37:32.900,,,,,,,,
2017-05-23 09:37:33.900,,,,,,,,
2017-05-23 09:37:34.900,,,,,,,,
2017-05-23 09:37:35.900,,,,,,,,
2017-05-23 09:37:36.900,,,,,,,,
2017-05-23 09:37:37.900,,,,,,,,
2017-05-23 09:37:38.900,,,,,,,,
2017-05-23 09:37:39.900,,,,,,,,
2017-05-23 09:37:40.900,,,,,,,,
2017-05-23 09:37:41.900,,,,,,,,
2017-05-23 09:37:42.900,,,,,,,,
2017-05-23 09:37:43.900,,,,,,,,
2017-05-23 09:37:44.900,,,,,,,,
2017-05-23 09:37:45.900,,,,,,,,
2017-05-23 09:37:46.900,,,,,,,,
2017-05-23 09:37:47.900,,,,,,,,
2017-05-23 09:37:48.900,,,,,,,,
2017-05-23 09:37:49.900,,,,,,,,
2017-05-23 09:37:50.900,,,,,,,,
2017-05-23 09:37:51.900,,,,,,,,
2017-05-23 09:37:52.900,,,,,,,,
2017-05-23 09:37:53.900,,,,,,,,
2017-05-23 09:37:54.900,,,,,,,,
2017-05-23 09:37:55.900,,,,,,,,
2017-05-23 09:37:56.900,,,,,,,,
2017-05-23 09:37:57.900,,,,,,,,
2017-05-23 09:37:58.900,,,,,,,,
2017-05-23 09:37:59.900,,,,,,,,
2017-05-23 09:38:00.900,,,,,,,,
2017-05-23 09:38:01.900,,,,,,,,
2017-05-23 09:38:02.900,,,,,,,,
2017-05-23 09:38:03.900,,,,,,,,
2017-05-23 09:38:04.900,,,,,,,,
